,Name,Location,Y/M/D,Start_hour
45,"Phim 26 Tết 2022: ""BROOKLYN"", Oscar 2016",Vincent Le Café  · Hà Nội,2022-11-19,19:30
46,"Điện Ảnh: ""Pride and Prejudice"" (Kiêu Hãnh và Định Kiến), 2005",Vincent Le Café  · Hà Nội,2022-11-26,20:30
47,"Điện Ảnh: ""WHEN IN ROME"" (Chuyện Tình ở Rome), 2009",Vincent Le Café  · Hà Nội,2022-12-10,18:30
48,"Điện Ảnh: ""Under The Tuscan Sun"" (Dưới Nắng Trời Tuscan), 2003",Vincent Le Café  · Hà Nội,2022-12-10,20:00
49,"Điện Ảnh: ""Brooklyn"" (Phận Người Xa Xứ), Oscar 2016",Vincent Le Café  · Hà Nội,2022-12-10,20:15
50,"Điện Ảnh: ""Giáng Sinh Năm Ấy"" (Last Christmas), 2019",Vincent Le Café  · Hà Nội,2022-12-15,20:30
51,"Điện Ảnh: ""Before Midnight"" (Trước Lúc Nửa Đêm), 2013",Vincent Le Café  · Hà Nội,2022-12-16,18:45
52,"Điện Ảnh: ""TITANIC"", Oscar Lần Thứ 70 (1998)",Vincent Le Café  · Hà Nội,2022-12-17,15:30
53,"Điện Ảnh: ""Wuthering Heights"" (Đồi Gió Hú), 2009",Vincent Le Café  · Hà Nội,2022-12-17,16:00
54,"Điện Ảnh: ""500 Days of Summer"" (500 Ngày Yêu), 2009",Vincent Le Café  · Hà Nội,2022-12-17,18:30
55,"Điện Ảnh: ""PHANTOM THREAD"" (Tình Yêu và Thời Trang), Oscar 2018",Vincent Le Café  · Hà Nội,2022-12-17,18:30
56,"Điện Ảnh: ""LOVING VINCENT"", Oscar 2017",Vincent Le Café  · Hà Nội,2022-12-17,18:30
57,"Điện Ảnh: ""Eternal Sunshine of The Spotless Mind"" (Ký Ức Tình Yêu), 2004",Vincent Le Café  · Hà Nội,2022-12-17,20:30
58,"Điện Ảnh: ""The Great Gatsby"" (Gatsby Vĩ Đại), Oscar 2013",Vincent Le Café  · Hà Nội,2022-12-17,20:30
59,"Điện Ảnh: ""Chuyện Tình ở Barcelona"" (Vicky Cristina Barcelona), 2008",Vincent Le Café  · Hà Nội,2022-12-17,20:30
60,"Phim Kinh Điển: ""Bố Già II"" (The Godfather II), Oscar Lần Thứ 47",Vincent Le Café  · Hà Nội,2022-12-24,14:30
61,"Điện Ảnh: ""Breakfast at Tiffany's"" (Bữa Sáng ở Tiffany's), Oscar 1961",Vincent Le Café  · Hà Nội,2023-01-07,15:30
62,"Điện Ảnh: ""THE GOD FATHER I"" (BỐ GIÀ PHẦN I), Oscar 1972",Vincent Le Café  · Hà Nội,2023-01-14,15:30
63,"Điện Ảnh: ""LITTLE WOMEN"" (NHỮNG NGƯỜI PHỤ NỮ NHỎ BÉ), Oscar 2020",Vincent Le Café  · Hà Nội,2023-01-14,19:30
64,Arch Duchess of Juke · CeeGee & ZiZi,ARCH. Café Bar & Rooftop  · Hà Nội,2022-11-11,20:30
65,Brighter Days Show · LIVE RADIO!,ARCH. Café Bar & Rooftop  · Hà Nội,2022-11-12,19:00 AND 7 MORE
66,Brighter Days Show · LIVE RADIO!,ARCH. Café Bar & Rooftop  · Hà Nội,2022-11-12,19:00
67,Brighter Days Show · LIVE RADIO!,ARCH. Café Bar & Rooftop  · Hà Nội,2022-11-19,19:00
68,H'ART Co. | Market Vol 2 | LEAP INTO FALL · Hội Chợ Nghệ Thu,ARCH. Café Bar & Rooftop  · Hà Nội,2022-11-20,09:00
69,Someone I Met Today · Film Photography Exhibition,ARCH. Café Bar & Rooftop  · Hà Nội,2022-11-26,18:00
70,Brighter Days Show · LIVE RADIO!,ARCH. Café Bar & Rooftop  · Hà Nội,2022-11-26,19:00
71,Brighter Days Show · LIVE RADIO!,ARCH. Café Bar & Rooftop  · Hà Nội,2022-12-03,19:00
72,Brighter Days Show · LIVE RADIO!,ARCH. Café Bar & Rooftop  · Hà Nội,2022-12-10,19:00
73,Kid Winter Fest,ARCH. Café Bar & Rooftop  · Hà Nội,2022-12-11,11:00
74,Brighter Days Show · LIVE RADIO!,ARCH. Café Bar & Rooftop  · Hà Nội,2022-12-17,19:00
75,Brighter Days Show · LIVE RADIO!,ARCH. Café Bar & Rooftop  · Hà Nội,2022-12-24,19:00
76,H'ART Co. | Market Vol 3 | CHRISTMAS EMPORIUM · Hội Chợ Nghệ Đông,ARCH. Café Bar & Rooftop  · Hà Nội,2022-12-25,08:00
77,Brighter Days Show · LIVE RADIO!,ARCH. Café Bar & Rooftop  · Hà Nội,2022-12-31,19:00
78,Hội Chợ Xuân Giảng Võ 2023,ICE Hanoi  · Hà Nội,2023-01-12,09:00
